date,count
2005-June,1
2005-March,2
2006-August,1
2006-January,1
2006-July,1
2006-May,1
2007-March,1
2007-October,2
2008-April,1
2008-August,1
2008-May,2
2008-November,1
2008-September,1
2009-February,1
2009-May,1
2009-October,2
2009-September,1
2010-April,1
2010-January,1
2011-July,3
2011-June,1
2011-March,1
2011-May,1
2011-November,2
2011-September,2
2012-February,2
