hotel_id,hotel_name,hotel_URL,img_URL,street_address,city
100564,Sixth Avenue Inn,http://www.tripadvisor.com/ShowUserReviews-g60878-d100564-Reviews-Sixth_Avenue_Inn-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/45/55/4555634fe8fc414fed05b005a2c6510b9large.jpg,2000 Sixth Ave.,Seattle
100565,Hotel Andra,http://www.tripadvisor.com/ShowUserReviews-g60878-d100565-Reviews-Hotel_Andra-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/photo-s/01/c7/40/80/living-room.jpg,2000 4th Ave,Seattle
1005656,Prime Hotel Principe Torlonia,http://www.tripadvisor.com/ShowUserReviews-g187791-d1005656-Reviews-Prime_Hotel_Principe_Torlonia-Rome_Lazio.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/10/6c/106c93b6888db719b57246db54a61e9f2large.jpg,Via Carlo Fea 5,Rome
100567,The Edgewater Hotel Seattle,http://www.tripadvisor.com/ShowUserReviews-g60878-d100567-Reviews-The_Edgewater_Hotel_Seattle-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/photo-s/01/de/a8/84/the-edgewater-hotel-seattle.jpg,2411 Alaskan Way,Seattle
100569,The Sorrento Hotel,http://www.tripadvisor.com/ShowUserReviews-g60878-d100569-Reviews-The_Sorrento_Hotel-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/fc/e5/fce5ac34c37a1d19d6a3bf3dc2e1ebaa6large.jpg,900 Madison St.,Seattle
100570,The Westin Seattle,http://www.tripadvisor.com/ShowUserReviews-g60878-d100570-Reviews-The_Westin_Seattle-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/3f/55/3f55304baf7f97c0cd43ff2e07adde9d4large.jpg,1900 5th Ave.,Seattle
100574,Travelodge Seattle by the Space Needle,http://www.tripadvisor.com/ShowUserReviews-g60878-d100574-Reviews-Travelodge_Seattle_by_the_Space_Needle-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/photo-s/02/2f/c3/65/2-queen-beds-non-smoking.jpg,200 6th Avenue North,Seattle
100577,Travelodge Seattle University,http://www.tripadvisor.com/ShowUserReviews-g60878-d100577-Reviews-Travelodge_Seattle_University-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/35/d5/35d5707b9959fbdf0058f77f2fdb7d2e5large.jpg,4725 25th Avenue NE,Seattle
1005794,Domus Ester,http://www.tripadvisor.com/ShowUserReviews-g187791-d1005794-Reviews-Domus_Ester-Rome_Lazio.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/24/8c/248ca9b01a5edfb3de5dd12204bf01221large.jpg,Via S Salvatore In Campo 38,Rome
100581,University Inn,http://www.tripadvisor.com/ShowUserReviews-g60878-d100581-Reviews-University_Inn-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/photo-s/01/f5/71/4a/entrance.jpg,4140 Roosevelt Way NE,Seattle
100584,Seattle Pacific Hotel,http://www.tripadvisor.com/ShowUserReviews-g60878-d100584-Reviews-Seattle_Pacific_Hotel-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/d7/26/d7260e6a9a7367211fef0ffe426ae0dc6large.jpg,325 Aurora Ave N,Seattle
100585,Hotel Vintage Park - a Kimpton Hotel,http://www.tripadvisor.com/ShowUserReviews-g60878-d100585-Reviews-Hotel_Vintage_Park_a_Kimpton_Hotel-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/photo-s/02/58/71/d8/hotel-lobby.jpg,1100 Fifth Avenue,Seattle
